iter	MultiClass
0	1.084926701
1	1.071903876
2	1.065970268
3	1.057766332
4	1.050313706
5	1.042818052
6	1.035312595
7	1.028007553
8	1.020759691
9	1.017026739
10	1.008734186
11	1.001939889
12	0.99690226
13	0.9902151953
14	0.9837031108
15	0.9774712096
16	0.9714280624
17	0.9624050903
18	0.9576264072
19	0.9528842945
20	0.9476305278
21	0.938973474
22	0.9347553585
23	0.9299197788
24	0.9243484894
25	0.917406305
26	0.9116799924
27	0.9097806118
28	0.9058081664
29	0.9000554614
30	0.8955761729
31	0.8916842924
32	0.8877913804
33	0.8826492209
34	0.8770924003
35	0.8708061589
36	0.8678631525
37	0.8644827609
38	0.8599916532
39	0.8560918369
40	0.8516596376
41	0.8492917798
42	0.8449539997
43	0.8437261189
44	0.8411847957
45	0.8378982577
46	0.8350322115
47	0.8332960314
48	0.8292855036
49	0.8256823016
50	0.8224093208
51	0.8182083106
52	0.8130932827
53	0.8107672267
54	0.8060232432
55	0.8020045037
56	0.7991340074
57	0.7946240907
58	0.7912752098
59	0.7889360206
60	0.784835111
61	0.7804996122
62	0.7775788129
63	0.7741810163
64	0.7708816557
65	0.7692724556
66	0.7652179177
67	0.76282686
68	0.759651219
69	0.7556096768
70	0.7523045414
71	0.7495850281
72	0.7463401877
73	0.7423934725
74	0.7396132754
75	0.7377193679
76	0.7352436677
77	0.7323810183
78	0.7290059498
79	0.7261873329
80	0.7220023754
81	0.7189274546
82	0.7161367445
83	0.7145190549
84	0.7125515949
85	0.7105215416
86	0.7064969123
87	0.7037454537
88	0.7017464675
89	0.699480881
90	0.6982686771
91	0.6961614032
92	0.6944502159
93	0.6899849252
94	0.6876186594
95	0.6855654296
96	0.6824350229
97	0.6783522573
98	0.6761955317
99	0.6726476874
100	0.6703098598
101	0.6679526982
102	0.6665728032
103	0.6647102482
104	0.66322427
105	0.6610207168
106	0.6554442424
107	0.6541707855
108	0.6508238552
109	0.6489895078
110	0.6467992197
111	0.6449196374
112	0.6420913947
113	0.6385765429
114	0.6367927195
115	0.6342949836
116	0.6308738954
117	0.6292428295
118	0.6271453059
119	0.6239370044
120	0.6216915713
121	0.6186845448
122	0.6167582722
123	0.6156888741
124	0.6121684311
125	0.609067414
126	0.6077414564
127	0.6043666863
128	0.603121741
129	0.6022939927
130	0.600027348
131	0.5983506109
132	0.5963189911
133	0.5951556655
134	0.5928180331
135	0.5906062949
136	0.5885875252
137	0.5850296322
138	0.5834125184
139	0.5813382116
140	0.5779796346
141	0.5762421167
142	0.5750318413
143	0.5738341541
144	0.5716557987
145	0.5704827769
146	0.5687128521
147	0.5667000497
148	0.5637446689
149	0.562013235
150	0.5600904626
151	0.5580307438
152	0.5554215144
153	0.5535338103
154	0.5526847809
155	0.5510166316
156	0.5496874774
157	0.5463968948
158	0.5446324403
159	0.5420429861
160	0.5396477655
161	0.5382863334
162	0.5365845677
163	0.5348311597
164	0.5329338765
165	0.5299739651
166	0.5279264408
167	0.526773966
168	0.5240003125
169	0.5212545204
170	0.5190520552
171	0.518070659
172	0.5163100556
173	0.5143285621
174	0.5133296791
175	0.5116783129
176	0.5101245033
177	0.508051068
178	0.506365378
179	0.5051232586
180	0.5032772189
181	0.5016792566
182	0.500424747
183	0.4981921824
184	0.495891824
185	0.4941973004
186	0.4926455277
187	0.4909875904
188	0.4901714929
189	0.4889723908
190	0.4879618812
191	0.4851439552
192	0.4841932798
193	0.4826081809
194	0.4811352658
195	0.4792193498
196	0.4777765709
197	0.476232423
198	0.4746385467
199	0.472473515
200	0.4709630827
201	0.4696649347
202	0.4677951728
203	0.4669118315
204	0.4655067355
205	0.464427752
206	0.4629245887
207	0.461589195
208	0.460297554
209	0.4594210954
210	0.4579740946
211	0.4570056916
212	0.4552627566
213	0.4543593873
214	0.4529910619
215	0.4516906033
216	0.450006119
217	0.4491163111
218	0.4479336572
219	0.4464598296
220	0.4454644967
221	0.4441922641
222	0.4427550561
223	0.4410821646
224	0.4400233326
225	0.4388214725
226	0.4376689868
227	0.4367480902
228	0.4348325028
229	0.433576982
230	0.432435001
231	0.4310674993
232	0.4301369768
233	0.4287606075
234	0.4273049248
235	0.4267510531
236	0.4252734596
237	0.4245127668
238	0.4233129084
239	0.4218823739
240	0.4210075544
241	0.4196650109
242	0.4184471131
243	0.4179991707
244	0.4173462042
245	0.4150799616
246	0.4145875985
247	0.4136737416
248	0.4120275668
249	0.4113520928
250	0.4109564948
251	0.4093731792
252	0.4083508585
253	0.407287125
254	0.4063524908
255	0.405062148
256	0.4038662118
257	0.403302421
258	0.4024051408
259	0.4014257765
260	0.4003023324
261	0.3988125676
262	0.3983108064
263	0.3969896465
264	0.3958389143
265	0.3947480636
266	0.3940988533
267	0.3930117909
268	0.3919835446
269	0.3901762141
270	0.3894873266
271	0.3887866517
272	0.3879808184
273	0.3862010591
274	0.3846850958
275	0.3826080827
276	0.3816298805
277	0.3805214811
278	0.3793793698
279	0.3786620889
280	0.3778484754
281	0.37688042
282	0.3762862135
283	0.3749427007
284	0.3741259419
285	0.3726645804
286	0.3716532809
287	0.3701076295
288	0.3685093782
289	0.3671922143
290	0.3662725087
291	0.3646927021
292	0.3636164698
293	0.3627425273
294	0.3611413385
295	0.3601487171
296	0.3595735582
297	0.3588366159
298	0.3580013571
299	0.3576738519
300	0.3568575584
301	0.3563492711
302	0.3553520242
303	0.3541282419
304	0.3531647623
305	0.352309032
306	0.3513526844
307	0.3504127357
308	0.3493441904
309	0.3483423043
310	0.347643209
311	0.3468439655
312	0.3460342724
313	0.3452042202
314	0.3446202635
315	0.3436909584
316	0.3430343579
317	0.3423628887
318	0.3413373722
319	0.3408028846
320	0.3405253293
321	0.3399583751
322	0.3388709865
323	0.3377499052
324	0.3370256285
325	0.3361843847
326	0.3357451539
327	0.3348701445
328	0.33424646
329	0.3338255529
330	0.3326478294
331	0.3322931442
332	0.3317879644
333	0.3312187597
334	0.330529414
