iter	Passed	Remaining
0	166	165901
1	176	88035
2	184	61345
3	192	47929
4	202	40221
5	210	34834
6	217	30907
7	225	27967
8	234	25795
9	241	23919
10	250	22501
11	258	21271
12	267	20289
13	274	19318
14	281	18482
15	289	17829
16	297	17229
17	306	16720
18	314	16245
19	323	15856
20	333	15561
21	345	15366
22	354	15077
23	363	14789
24	372	14531
25	381	14300
26	391	14095
27	401	13946
28	410	13751
29	420	13589
30	428	13406
31	437	13230
32	445	13062
33	454	12913
34	463	12770
35	471	12627
36	480	12495
37	488	12373
38	496	12245
39	505	12123
40	513	12004
41	521	11894
42	530	11801
43	539	11728
44	548	11631
45	555	11525
46	563	11425
47	571	11340
48	579	11252
49	587	11168
50	596	11097
51	603	11008
52	611	10927
53	619	10845
54	626	10768
55	634	10695
56	642	10623
57	649	10547
58	657	10482
59	664	10417
60	672	10355
61	680	10294
62	688	10232
63	695	10173
64	702	10108
65	709	10044
66	717	9985
67	725	9940
68	733	9894
69	740	9843
70	749	9800
71	756	9753
72	764	9703
73	772	9660
74	779	9614
75	786	9567
76	793	9515
77	801	9472
78	808	9428
79	815	9382
80	823	9338
81	830	9297
82	837	9252
83	844	9209
84	852	9179
85	860	9142
86	868	9110
87	875	9074
88	882	9037
89	890	9001
90	897	8963
91	904	8926
92	911	8892
93	919	8858
94	926	8827
95	934	8795
96	941	8763
97	949	8736
98	957	8710
99	964	8682
100	972	8658
101	980	8632
102	988	8606
103	996	8582
104	1004	8559
105	1011	8534
106	1019	8510
107	1027	8483
108	1035	8463
109	1043	8438
110	1051	8418
111	1059	8396
112	1066	8374
113	1075	8355
114	1083	8335
115	1090	8313
116	1099	8299
117	1107	8279
118	1116	8269
119	1125	8250
120	1133	8231
121	1141	8211
122	1148	8190
123	1156	8168
124	1163	8143
125	1170	8121
126	1177	8097
127	1185	8073
128	1192	8048
129	1199	8024
130	1206	8002
131	1213	7981
132	1221	7963
133	1228	7942
134	1235	7918
135	1243	7897
136	1250	7876
137	1258	7859
138	1265	7838
139	1272	7817
140	1279	7796
141	1287	7777
142	1294	7758
143	1302	7740
144	1309	7721
145	1316	7702
146	1323	7682
147	1330	7661
148	1337	7640
149	1344	7619
150	1351	7601
151	1358	7580
152	1366	7562
153	1373	7543
154	1380	7526
155	1387	7506
156	1394	7488
157	1401	7470
158	1409	7453
159	1416	7436
160	1423	7418
161	1430	7400
162	1437	7381
163	1444	7364
164	1451	7346
165	1458	7329
166	1466	7312
167	1473	7296
168	1480	7280
169	1488	7265
170	1495	7249
171	1502	7233
172	1510	7221
173	1518	7209
174	1526	7194
175	1533	7178
176	1540	7164
177	1547	7148
178	1555	7132
179	1562	7118
180	1570	7106
181	1578	7094
182	1586	7080
183	1593	7067
184	1601	7053
185	1608	7038
186	1615	7023
187	1622	7007
188	1629	6991
189	1636	6977
190	1643	6962
191	1651	6950
192	1659	6936
193	1666	6922
194	1673	6908
195	1680	6895
196	1687	6880
197	1695	6866
198	1701	6850
199	1709	6836
200	1716	6821
201	1723	6809
202	1731	6796
203	1738	6782
204	1745	6768
205	1752	6754
206	1759	6741
207	1766	6728
208	1773	6713
209	1780	6699
210	1788	6687
211	1795	6673
212	1802	6660
213	1809	6646
214	1817	6635
215	1825	6624
216	1832	6612
217	1839	6600
218	1847	6587
219	1854	6573
220	1860	6559
221	1868	6546
222	1875	6533
223	1882	6520
224	1889	6507
225	1896	6495
226	1904	6485
227	1912	6475
228	1920	6465
229	1927	6454
230	1935	6442
231	1942	6430
232	1949	6417
233	1956	6405
234	1963	6392
235	1971	6380
236	1978	6368
237	1984	6355
238	1992	6342
239	1999	6330
240	2006	6320
241	2014	6309
242	2021	6297
243	2028	6285
244	2036	6276
245	2044	6266
246	2051	6253
247	2058	6241
248	2065	6229
249	2072	6218
250	2079	6205
251	2087	6196
252	2095	6185
253	2103	6177
254	2111	6167
255	2118	6158
256	2126	6146
257	2133	6135
258	2140	6123
259	2147	6113
260	2155	6102
261	2162	6091
262	2169	6080
263	2177	6070
264	2184	6059
265	2192	6048
266	2199	6038
267	2206	6027
268	2214	6017
269	2221	6006
270	2228	5995
271	2235	5984
272	2243	5973
273	2250	5961
274	2257	5952
275	2266	5944
276	2274	5935
277	2281	5925
278	2289	5916
279	2297	5908
280	2305	5898
281	2312	5888
282	2320	5879
283	2327	5869
284	2335	5858
285	2342	5847
286	2348	5835
287	2356	5825
288	2363	5815
289	2370	5804
290	2378	5794
291	2385	5783
292	2392	5773
293	2400	5763
294	2407	5753
295	2414	5742
296	2422	5733
297	2429	5723
298	2437	5714
299	2444	5704
300	2452	5694
301	2459	5685
302	2467	5675
303	2474	5665
304	2481	5655
305	2489	5645
306	2496	5634
307	2503	5624
308	2510	5615
309	2518	5606
310	2526	5596
311	2533	5586
312	2540	5575
313	2547	5565
314	2555	5556
315	2562	5546
316	2569	5537
317	2577	5527
318	2584	5518
319	2591	5507
320	2599	5499
321	2607	5490
322	2615	5481
323	2623	5473
324	2630	5463
325	2638	5454
326	2645	5443
327	2652	5434
328	2660	5425
329	2668	5418
330	2677	5410
331	2687	5408
332	2696	5400
333	2704	5392
334	2712	5384
335	2720	5375
336	2728	5367
337	2736	5358
338	2744	5351
339	2752	5342
340	2760	5335
341	2769	5327
342	2776	5319
343	2784	5309
344	2791	5300
345	2799	5290
346	2806	5281
347	2813	5271
348	2821	5263
349	2829	5254
350	2836	5244
351	2843	5234
352	2850	5225
353	2858	5216
354	2865	5206
355	2872	5196
356	2880	5187
357	2888	5180
358	2896	5172
359	2904	5163
360	2911	5154
361	2919	5145
362	2926	5136
363	2933	5126
364	2940	5116
365	2948	5106
366	2955	5097
367	2962	5088
368	2970	5078
369	2977	5069
370	2984	5059
371	2991	5050
372	2998	5040
373	3005	5030
374	3013	5022
375	3020	5013
376	3028	5004
377	3036	4995
378	3044	4988
379	3052	4979
380	3059	4971
381	3067	4962
382	3075	4954
383	3083	4946
384	3091	4938
385	3099	4930
386	3107	4922
387	3115	4914
388	3124	4907
389	3132	4899
390	3140	4891
391	3149	4884
392	3157	4876
393	3165	4868
394	3174	4861
395	3182	4854
396	3190	4846
397	3199	4838
398	3207	4831
399	3216	4824
400	3224	4816
401	3233	4809
402	3241	4801
403	3249	4793
404	3257	4785
405	3265	4777
406	3273	4769
407	3281	4761
408	3289	4753
409	3297	4745
410	3305	4737
411	3313	4728
412	3321	4721
413	3329	4712
414	3337	4704
415	3345	4695
416	3352	4687
417	3360	4679
418	3368	4671
419	3376	4663
420	3384	4654
421	3393	4647
422	3400	4638
423	3408	4630
424	3416	4622
425	3424	4613
426	3432	4606
427	3440	4597
428	3448	4589
429	3456	4581
430	3465	4574
431	3473	4567
432	3482	4559
433	3490	4552
434	3498	4543
435	3506	4535
436	3514	4527
437	3522	4519
438	3530	4511
439	3538	4503
440	3546	4494
441	3553	4486
442	3561	4478
443	3569	4470
444	3577	4461
445	3585	4453
446	3593	4445
447	3601	4437
448	3609	4429
449	3617	4421
450	3625	4413
451	3634	4405
452	3642	4397
453	3650	4390
454	3659	4383
455	3668	4377
456	3676	4368
457	3685	4361
458	3694	4354
459	3703	4348
460	3712	4340
461	3720	4332
462	3728	4324
463	3739	4319
464	3749	4313
465	3762	4311
466	3772	4305
467	3780	4297
468	3788	4289
469	3796	4281
470	3804	4273
471	3812	4265
472	3822	4258
473	3831	4252
474	3841	4246
475	3850	4238
476	3858	4231
477	3867	4223
478	3875	4215
479	3883	4206
480	3890	4197
481	3897	4188
482	3905	4180
483	3912	4171
484	3920	4162
485	3927	4154
486	3935	4145
487	3942	4136
488	3950	4127
489	3957	4119
490	3964	4110
491	3972	4101
492	3979	4092
493	3986	4083
494	3994	4074
495	4001	4066
496	4009	4057
497	4016	4048
498	4024	4040
499	4031	4031
500	4038	4022
501	4046	4013
502	4053	4004
503	4060	3995
504	4067	3986
505	4075	3978
506	4082	3969
507	4089	3960
508	4096	3951
509	4103	3942
510	4111	3934
511	4118	3925
512	4126	3917
513	4133	3908
514	4141	3900
515	4149	3892
516	4158	3884
517	4166	3876
518	4173	3868
519	4181	3859
520	4188	3851
521	4196	3842
522	4204	3834
523	4211	3826
524	4219	3817
525	4227	3809
526	4234	3800
527	4241	3791
528	4248	3783
529	4257	3775
530	4265	3767
531	4272	3758
532	4280	3750
533	4287	3741
534	4294	3732
535	4301	3723
536	4308	3714
537	4315	3706
538	4323	3697
539	4330	3688
540	4337	3679
541	4344	3671
542	4351	3662
543	4358	3653
544	4366	3645
545	4373	3636
546	4380	3627
547	4388	3619
548	4395	3611
549	4404	3603
550	4411	3595
551	4419	3586
552	4426	3578
553	4433	3569
554	4441	3560
555	4448	3552
556	4455	3543
557	4462	3534
558	4470	3526
559	4477	3518
560	4485	3509
561	4492	3501
562	4499	3492
563	4507	3484
564	4514	3475
565	4521	3466
566	4528	3458
567	4535	3449
568	4543	3441
569	4550	3432
570	4557	3424
571	4565	3415
572	4573	3407
573	4580	3399
574	4587	3391
575	4595	3382
576	4602	3374
577	4609	3365
578	4617	3357
579	4624	3349
580	4632	3340
581	4640	3332
582	4649	3325
583	4656	3317
584	4665	3309
585	4673	3301
586	4681	3293
587	4688	3285
588	4696	3276
589	4703	3268
590	4711	3260
591	4718	3252
