iter	Passed	Remaining
0	8	4080
1	14	3538
2	20	3443
3	27	3365
4	33	3300
5	44	3685
6	52	3693
7	58	3587
8	64	3523
9	72	3538
10	78	3476
11	85	3465
12	91	3428
13	97	3383
14	104	3383
15	110	3353
16	117	3325
17	123	3306
18	129	3278
19	136	3269
20	142	3259
21	150	3260
22	156	3241
23	162	3225
24	172	3286
25	179	3264
26	186	3267
27	192	3247
28	199	3239
29	205	3225
30	212	3207
31	218	3200
32	224	3183
33	231	3171
34	237	3161
35	244	3145
36	251	3142
37	257	3131
38	264	3129
39	271	3120
40	278	3115
41	284	3104
42	291	3093
43	298	3094
44	304	3081
45	311	3070
46	317	3064
47	324	3052
48	332	3061
49	338	3049
50	346	3049
51	353	3048
52	361	3045
53	367	3033
54	373	3023
55	380	3016
56	386	3006
57	393	3000
58	400	2992
59	407	2984
60	413	2979
61	420	2969
62	427	2966
63	434	2956
64	441	2952
65	447	2944
66	454	2934
67	461	2932
68	468	2924
69	475	2918
70	481	2909
71	489	2907
72	495	2897
73	501	2888
74	509	2885
75	515	2877
76	522	2869
77	528	2861
78	535	2856
79	542	2847
80	549	2840
81	556	2836
82	563	2830
83	570	2825
84	576	2817
85	583	2809
86	590	2801
87	596	2794
88	604	2790
89	610	2781
90	617	2776
91	624	2768
92	630	2759
93	637	2754
94	644	2746
95	651	2740
96	657	2732
97	664	2724
98	670	2717
99	677	2709
100	684	2704
101	690	2696
102	697	2688
103	704	2681
104	710	2674
105	717	2668
106	724	2659
107	732	2659
108	739	2653
109	746	2645
110	753	2639
111	759	2632
112	766	2625
113	773	2618
114	780	2611
115	786	2604
116	793	2596
117	800	2590
118	806	2582
119	813	2576
120	820	2570
121	827	2564
122	834	2556
123	840	2549
124	848	2544
125	854	2536
126	861	2530
127	868	2525
128	875	2518
129	882	2511
130	889	2504
131	896	2500
132	903	2493
133	910	2486
134	916	2478
135	923	2471
136	929	2463
137	936	2457
138	944	2453
139	951	2446
140	958	2440
141	965	2434
142	972	2427
143	978	2419
144	985	2412
145	992	2407
146	999	2400
147	1006	2393
148	1012	2386
149	1019	2378
150	1026	2373
151	1033	2366
152	1041	2361
153	1047	2354
154	1055	2349
155	1062	2342
156	1069	2336
157	1076	2330
158	1083	2322
159	1090	2317
160	1097	2311
161	1104	2304
162	1111	2297
163	1119	2293
164	1126	2287
165	1133	2281
166	1141	2276
167	1148	2269
168	1155	2263
169	1162	2257
170	1170	2252
171	1177	2246
172	1185	2241
173	1192	2234
174	1200	2228
175	1206	2221
176	1213	2214
177	1220	2208
178	1227	2201
179	1235	2195
180	1241	2188
181	1248	2182
182	1255	2175
183	1262	2168
184	1270	2162
185	1277	2155
186	1284	2149
187	1291	2143
188	1298	2136
189	1305	2129
190	1312	2122
191	1318	2115
192	1325	2108
193	1333	2103
194	1340	2096
195	1347	2090
196	1354	2083
197	1362	2078
198	1369	2071
199	1376	2064
200	1383	2058
201	1390	2051
202	1398	2045
203	1404	2038
204	1412	2032
205	1418	2025
206	1426	2018
207	1433	2012
208	1440	2005
209	1447	1998
210	1454	1991
211	1461	1985
212	1468	1979
213	1476	1972
214	1482	1965
215	1490	1959
216	1497	1952
217	1503	1945
218	1511	1939
219	1518	1932
220	1526	1926
221	1533	1919
222	1540	1914
223	1547	1906
224	1554	1900
225	1561	1893
226	1568	1886
227	1575	1879
228	1582	1873
229	1590	1866
230	1596	1859
231	1604	1853
232	1611	1846
233	1618	1839
234	1625	1833
235	1632	1826
236	1639	1819
237	1646	1812
238	1653	1806
239	1660	1799
240	1668	1793
241	1675	1786
242	1682	1779
243	1690	1773
